######################################
Exploring the best parameters for the kernel mandel
using default
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,256,64,2,dynamic,1,6342.846
cortex,256,64,3,dynamic,1,4376.558
cortex,256,64,4,dynamic,1,3620.046
denver,256,64,1,dynamic,1,9281.045
denver,256,64,2,dynamic,1,4714.669
full_system,256,64,6,dynamic,1,3173.052
cortex,256,128,1,dynamic,1,12621.800
cortex,256,128,2,dynamic,1,6457.003
cortex,256,128,3,dynamic,1,4723.546
cortex,256,128,4,dynamic,1,4053.756
denver,256,128,1,dynamic,1,9258.551
denver,256,128,2,dynamic,1,4761.506
full_system,256,128,6,dynamic,1,3385.091
cortex,256,256,1,dynamic,1,12619.178
cortex,256,256,2,dynamic,1,6478.543
cortex,256,256,3,dynamic,1,5001.609
cortex,256,256,4,dynamic,1,4389.102
denver,256,256,1,dynamic,1,9415.619
denver,256,256,2,dynamic,1,4911.374
full_system,256,256,6,dynamic,1,3882.960
cortex,256,512,1,dynamic,1,12640.511
cortex,256,512,2,dynamic,1,6693.021
cortex,256,512,3,dynamic,1,5219.504
cortex,256,512,4,dynamic,1,4528.005
denver,256,512,1,dynamic,1,9265.163
denver,256,512,2,dynamic,1,4889.144
full_system,256,512,6,dynamic,1,3975.933
cortex,256,1024,1,dynamic,1,12694.361
cortex,256,1024,2,dynamic,1,8152.975
cortex,256,1024,3,dynamic,1,6963.838
cortex,256,1024,4,dynamic,1,6363.946
denver,256,1024,1,dynamic,1,9194.869
denver,256,1024,2,dynamic,1,5963.595
cortex,512,64,1,dynamic,1,12685.639
cortex,512,64,2,dynamic,1,6396.880
cortex,512,64,3,dynamic,1,4333.435
cortex,512,64,4,dynamic,1,3516.183
denver,512,64,1,dynamic,1,9226.686
denver,512,64,2,dynamic,1,4664.648
full_system,512,64,6,dynamic,1,2882.839
cortex,512,128,1,dynamic,1,12640.694
cortex,512,128,2,dynamic,1,6466.296
cortex,512,128,3,dynamic,1,4585.014
cortex,512,128,4,dynamic,1,3674.651
denver,512,128,1,dynamic,1,9346.180
denver,512,128,2,dynamic,1,4777.841
full_system,512,128,6,dynamic,1,3400.466
