######################################
Exploring the best parameters for the kernel blur2
using urrot2_neon_div8_u16
######################################
cpu,th,tw,threads,schedule,schedule_n,time
denver,256,64,1,static,2,8847.452
denver,256,64,2,static,2,5061.318
full_system,256,64,6,static,2,2260.283
cortex,256,128,1,static,2,5459.662
cortex,256,128,2,static,2,3231.891
cortex,256,128,3,static,2,2031.200
cortex,256,128,4,static,2,2308.426
denver,256,128,1,static,2,4330.406
denver,256,128,2,static,2,2782.354
full_system,256,128,6,static,2,1606.956
cortex,256,256,1,static,2,2614.253
cortex,256,256,2,static,2,1933.686
cortex,256,256,3,static,2,1167.556
cortex,256,256,4,static,2,979.598
denver,256,256,1,static,2,2069.304
denver,256,256,2,static,2,1667.737
full_system,256,256,6,static,2,1087.011
cortex,256,512,1,static,2,1210.224
cortex,256,512,2,static,2,626.926
cortex,256,512,3,static,2,647.308
cortex,256,512,4,static,2,353.820
denver,256,512,1,static,2,931.783
denver,256,512,2,static,2,514.200
full_system,256,512,6,static,2,569.680
cortex,256,1024,1,static,2,510.709
cortex,256,1024,2,static,2,288.060
cortex,256,1024,3,static,2,298.847
cortex,256,1024,4,static,2,334.305
denver,256,1024,1,static,2,272.804
denver,256,1024,2,static,2,161.889
cortex,512,64,1,static,2,10359.111
cortex,512,64,2,static,2,5842.123
cortex,512,64,3,static,2,3970.633
cortex,512,64,4,static,2,3618.444
denver,512,64,1,static,2,9132.687
denver,512,64,2,static,2,5145.005
full_system,512,64,6,static,2,2357.962
cortex,512,128,1,static,2,4944.052
cortex,512,128,2,static,2,3137.261
cortex,512,128,3,static,2,2072.573
cortex,512,128,4,static,2,2188.720
denver,512,128,1,static,2,4490.750
denver,512,128,2,static,2,2869.624
full_system,512,128,6,static,2,1683.057
cortex,512,256,1,static,2,2462.366
cortex,512,256,2,static,2,1823.641
cortex,512,256,3,static,2,1300.354
cortex,512,256,4,static,2,1070.538
denver,512,256,1,static,2,2134.416
denver,512,256,2,static,2,1735.600
full_system,512,256,6,static,2,1227.453
cortex,512,512,1,static,2,1148.413
cortex,512,512,2,static,2,640.704
cortex,512,512,3,static,2,658.428
cortex,512,512,4,static,2,624.107
denver,512,512,1,static,2,933.000
denver,512,512,2,static,2,530.916
cortex,512,1024,1,static,2,509.605
cortex,512,1024,2,static,2,543.699
denver,512,1024,1,static,2,262.088
denver,512,1024,2,static,2,289.091
cortex,1024,64,1,static,2,10396.113
cortex,1024,64,2,static,2,5841.969
cortex,1024,64,3,static,2,4479.063
cortex,1024,64,4,static,2,3613.232
denver,1024,64,1,static,2,9152.973
denver,1024,64,2,static,2,5145.488
full_system,1024,64,6,static,2,2844.001
cortex,1024,128,1,static,2,5054.845
cortex,1024,128,2,static,2,3177.175
cortex,1024,128,3,static,2,2544.575
cortex,1024,128,4,static,2,2304.807
denver,1024,128,1,static,2,4497.616
denver,1024,128,2,static,2,2869.484
full_system,1024,128,6,static,2,2353.848
cortex,1024,256,1,static,2,2411.624
cortex,1024,256,2,static,2,1892.402
cortex,1024,256,3,static,2,1912.116
cortex,1024,256,4,static,2,1937.678
denver,1024,256,1,static,2,2129.445
denver,1024,256,2,static,2,1628.351
